proposal_id,protocol,proposal_type,title,for_votes,against_votes,abstain_votes,total_votes,for_pct,quorum_reached,passed,start_date,end_date,execution_delay_days
AER-100,Aerodrome,ParameterChange,ParameterChange for Aerodrome Protocol,8585147,3575953,122853,12161100,70.6,True,True,2026-06-01,2026-06-08,2
AAV-101,Aave,TreasurySpend,TreasurySpend for Aave Protocol,1235842,1883760,753358,3119602,39.62,False,False,2026-06-02,2026-06-09,5
UNI-102,Uniswap,Upgrade,Upgrade for Uniswap Protocol,7698873,3401474,638662,11100347,69.36,True,True,2026-06-03,2026-06-10,5
COM-103,Compound,FeeAdjustment,FeeAdjustment for Compound Protocol,652430,4027541,621006,4679971,13.94,False,False,2026-06-04,2026-06-11,2
CUR-104,Curve,NewMarket,NewMarket for Curve Protocol,7560228,4057567,74004,11617795,65.07,True,True,2026-06-05,2026-06-12,4
BAL-105,Balancer,Emissions,Emissions for Balancer Protocol,9400031,3361582,637697,12761613,73.66,True,True,2026-06-06,2026-06-13,3
AER-106,Aerodrome,ParameterChange,ParameterChange for Aerodrome Protocol,3040850,117133,700439,3157983,96.29,False,False,2026-06-07,2026-06-14,9
AAV-107,Aave,TreasurySpend,TreasurySpend for Aave Protocol,1062544,3405709,372661,4468253,23.78,False,False,2026-06-08,2026-06-15,3
UNI-108,Uniswap,Upgrade,Upgrade for Uniswap Protocol,6014974,2707252,746668,8722226,68.96,True,True,2026-06-09,2026-06-16,9
COM-109,Compound,FeeAdjustment,FeeAdjustment for Compound Protocol,6051015,1521245,443095,7572260,79.91,True,True,2026-06-10,2026-06-17,6
CUR-110,Curve,NewMarket,NewMarket for Curve Protocol,7104616,4687650,823190,11792266,60.25,True,True,2026-06-11,2026-06-18,8
BAL-111,Balancer,Emissions,Emissions for Balancer Protocol,4328685,1030536,874906,5359221,80.77,True,True,2026-06-12,2026-06-19,13
AER-112,Aerodrome,ParameterChange,ParameterChange for Aerodrome Protocol,8463435,973643,49624,9437078,89.68,True,True,2026-06-13,2026-06-20,2
AAV-113,Aave,TreasurySpend,TreasurySpend for Aave Protocol,9186530,3427927,97145,12614457,72.83,True,True,2026-06-14,2026-06-21,8
UNI-114,Uniswap,Upgrade,Upgrade for Uniswap Protocol,3918390,4400190,462874,8318580,47.1,True,False,2026-06-15,2026-06-22,6
COM-115,Compound,FeeAdjustment,FeeAdjustment for Compound Protocol,8920094,1445587,632956,10365681,86.05,True,True,2026-06-16,2026-06-23,11
CUR-116,Curve,NewMarket,NewMarket for Curve Protocol,3883033,4119931,271154,8002964,48.52,True,False,2026-06-17,2026-06-24,12
BAL-117,Balancer,Emissions,Emissions for Balancer Protocol,7204591,220864,699203,7425455,97.03,True,True,2026-06-18,2026-06-25,8
AER-118,Aerodrome,ParameterChange,ParameterChange for Aerodrome Protocol,3419401,363442,345585,3782843,90.39,False,False,2026-06-19,2026-06-26,10
AAV-119,Aave,TreasurySpend,TreasurySpend for Aave Protocol,4091095,1652094,197679,5743189,71.23,True,True,2026-06-20,2026-06-27,9
UNI-120,Uniswap,Upgrade,Upgrade for Uniswap Protocol,2379231,1277450,696223,3656681,65.07,False,False,2026-06-21,2026-06-28,2
COM-121,Compound,FeeAdjustment,FeeAdjustment for Compound Protocol,7732863,4867431,750740,12600294,61.37,True,True,2026-06-22,2026-06-29,9
CUR-122,Curve,NewMarket,NewMarket for Curve Protocol,3466292,459619,262762,3925911,88.29,False,False,2026-06-23,2026-06-30,3
BAL-123,Balancer,Emissions,Emissions for Balancer Protocol,6798387,1541382,727356,8339769,81.52,True,True,2026-06-24,2026-07-01,12
AER-124,Aerodrome,ParameterChange,ParameterChange for Aerodrome Protocol,6689407,2950107,968681,9639514,69.4,True,True,2026-06-25,2026-07-02,12
